All - 07-04-2025 00:00 - 07-04-2025 23:59
Location,Ticket#,License Plate No.,Amount,Tax,Fee,Per Day Fee,Duration(hh:mm),Entry Time,Exit Time,Transaction Time,Ticket Status,Transaction Mode,Ticket Type,Transaction Description,Payment Status,Extended By,Reason
124 Washington Parking (Grand Canal),TG42782,EC82D81,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:47 PM,,07/04/2025 01:47 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TD05338,8PNH068,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:47 PM,,07/04/2025 01:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TB64661,8SBT157,40.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:45 PM,,07/04/2025 01:45 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TX29216,7PYJ155,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 01:45 PM,,07/04/2025 01:45 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TR61864,9LUR621,65.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 01:44 PM,,07/04/2025 01:44 PM,Open,Card,Regular,,SUCCEEDED,,
220 Rose Parking,TZ16662,9JQN851,25.00,0.00,1.00,0.00,2:00,07/04/2025 01:40 PM,,07/04/2025 01:40 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TT04421,7YWK205,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:37 PM,,07/04/2025 01:37 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TT04421-EXT,7YWK205,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:37 PM,,07/04/2025 03:28 PM,Open,Card,Regular,,SUCCEEDED,Parker,
102 Washington Parking (Arbor),TP86692,KJK6833,25.00,0.00,2.50,0.00,2:00,07/04/2025 01:33 PM,,07/04/2025 01:33 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TP86692-EXT,KJK6833,55.00,0.00,5.50,0.00,Until 02:00 AM,07/04/2025 01:33 PM,,07/04/2025 03:37 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TC18552,9BJJ140,30.00,0.00,3.00,0.00,2:00,07/04/2025 01:33 PM,,07/04/2025 01:33 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TC18552-EEX,9BJJ140,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 01:33 PM,,07/04/2025 03:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
121 Windward Parking,TB95430,13945A2,30.00,0.00,3.00,0.00,2:00,07/04/2025 01:33 PM,,07/04/2025 01:33 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TY34750,9RLU410,10.00,0.00,1.00,0.00,1:00,07/04/2025 01:32 PM,,07/04/2025 01:32 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TN36064,9TEC151,10.00,0.00,1.00,0.00,0:30,07/04/2025 01:32 PM,,07/04/2025 01:32 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TW97719,9RSL674,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 01:31 PM,,07/04/2025 01:31 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TS32072,9PLK683,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:29 PM,,07/04/2025 01:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TS32072-EEX,9PLK683,50.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 01:29 PM,,07/04/2025 03:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,Johan Rossi,
121 Windward Parking,TT43013,9PRR006,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 01:29 PM,,07/04/2025 01:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TR28997,9GBK746,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:27 PM,,07/04/2025 01:27 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TR28997-EEX,9GBK746,50.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 01:27 PM,,07/04/2025 03:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,Johan Rossi,
102 Washington Parking (Arbor),TD91454,9SSN655,70.00,0.00,7.00,0.00,Until 02:00 AM,07/04/2025 01:25 PM,,07/04/2025 01:25 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TW88106,8NWD922,65.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 01:22 PM,,07/04/2025 01:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TA90586,9JQH462,30.00,0.00,3.00,0.00,2:00,07/04/2025 01:20 PM,,07/04/2025 01:20 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TF29605,9RUH000,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:19 PM,,07/04/2025 01:19 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TL33946,9RDV335,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 01:19 PM,,07/04/2025 01:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TP71494,9PJN687,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:16 PM,,07/04/2025 01:16 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TT55127,9UAH468,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:15 PM,,07/04/2025 01:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TV53102,9ETE915,20.00,0.00,1.00,0.00,1:00,07/04/2025 01:15 PM,,07/04/2025 01:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TE82224,9NQC214,15.00,0.00,1.00,0.00,2:00,07/04/2025 01:15 PM,,07/04/2025 01:15 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TT59007,NYETRUM,10.00,0.00,1.00,0.00,0:30,07/04/2025 01:14 PM,,07/04/2025 01:14 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TT59007-EXT,NYETRUM,10.00,0.00,1.00,0.00,0:30,07/04/2025 01:14 PM,,07/04/2025 01:36 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TT59007-EXT,NYETRUM,10.00,0.00,1.00,0.00,1:30,07/04/2025 01:14 PM,,07/04/2025 02:13 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1501 Main Parking,TJ92971,9TNR981,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:14 PM,,07/04/2025 01:14 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TJ92971-EXT,9TNR981,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:14 PM,,07/04/2025 03:26 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
124 Washington Parking (Grand Canal),TR16784,7UWY485,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:13 PM,,07/04/2025 01:13 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TB07171,9DJK305,15.00,0.00,1.00,0.00,2:00,07/04/2025 01:12 PM,,07/04/2025 01:12 PM,Open,Card,Regular,,SUCCEEDED,,
1501 Main Parking,TP31908,9RHG616,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:10 PM,,07/04/2025 01:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TE25460,R191K0,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:08 PM,,07/04/2025 01:08 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TE25460-EXT,R191K0,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:08 PM,,07/04/2025 03:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
2913 Washington Parking (Scopa 1),TW36876,9SSH581,15.00,0.00,1.00,0.00,2:00,07/04/2025 01:08 PM,,07/04/2025 01:08 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TS14528,3FA9WV,5.00,0.00,1.00,0.00,0:30,07/04/2025 01:03 PM,,07/04/2025 01:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TJ32437,9LAK945,20.00,0.00,1.00,0.00,1:00,07/04/2025 01:03 PM,,07/04/2025 01:03 PM,Open,Card,Regular,,SUCCEEDED,,
1501 Main Parking,TD69621,9TPD820,30.00,0.00,1.00,0.00,2:00,07/04/2025 01:03 PM,,07/04/2025 01:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TD23072,5GUW819,30.00,0.00,1.00,0.00,2:00,07/04/2025 12:59 PM,,07/04/2025 12:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TD23072-EXT,5GUW819,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:59 PM,,07/04/2025 01:40 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TW46479,7TKK994,40.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:57 PM,,07/04/2025 12:57 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TN91535,T301UM,20.00,0.00,2.00,0.00,1:00,07/04/2025 12:57 PM,,07/04/2025 12:57 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TN91535-EXT,T301UM,10.00,0.00,1.00,0.00,1:00,07/04/2025 12:57 PM,,07/04/2025 02:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TN91535-EEX,T301UM,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 12:57 PM,,07/04/2025 03:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
124 Washington Parking (Grand Canal),TQ09971,9CMT273,65.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 12:57 PM,,07/04/2025 12:57 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TV74587,9NJW853,40.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:54 PM,,07/04/2025 12:54 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TA65535,SPUNOWT,65.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 12:54 PM,,07/04/2025 12:54 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH73496,9REV205,20.00,0.00,1.00,0.00,2:00,07/04/2025 12:54 PM,,07/04/2025 12:54 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TB38120,8YGB052,15.00,0.00,1.50,0.00,1:00,07/04/2025 12:53 PM,,07/04/2025 12:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TH92410,9TSH005,20.00,0.00,2.00,0.00,1:00,07/04/2025 12:53 PM,,07/04/2025 12:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TM54277,8ZLA344,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:50 PM,,07/04/2025 12:50 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TN82860,9PXG142,65.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 12:50 PM,,07/04/2025 12:50 PM,Open,Card,Regular,,SUCCEEDED,,
1501 Main Parking,TU69978,9EWT594,30.00,0.00,1.00,0.00,2:00,07/04/2025 12:49 PM,,07/04/2025 12:49 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TB50665,8SRU514,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:48 PM,,07/04/2025 12:48 PM,Open,Card,Regular,,SUCCEEDED,,
407 Colorado Parking,TG68845,RCA6PW,25.00,0.00,1.00,0.00,2:00,07/04/2025 12:47 PM,,07/04/2025 12:47 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TP51089,9BHV177,30.00,0.00,3.00,0.00,2:00,07/04/2025 12:47 PM,,07/04/2025 12:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TA95864,EB66Z04,30.00,0.00,1.00,0.00,2:00,07/04/2025 12:47 PM,,07/04/2025 12:47 PM,Open,Card,Regular,,SUCCEEDED,,
155 Washington Parking,TA95864-EXT,EB66Z04,70.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 12:47 PM,,07/04/2025 02:42 PM,Open,Card,Regular,,SUCCEEDED,Parker,
407 Colorado Parking,TU86407,9MWU159,25.00,0.00,1.00,0.00,2:00,07/04/2025 12:46 PM,,07/04/2025 12:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TB04121,9TIE886,35.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:46 PM,,07/04/2025 12:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TU32337,9STT340,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 12:45 PM,,07/04/2025 12:45 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
801 Ocean Front Walk,TU27124,PSA7D0A,45.00,0.00,1.00,0.00,Until 10:00 AM,07/04/2025 12:45 PM,,07/04/2025 12:45 PM,Open,Card,Regular,,SUCCEEDED,,
801 Ocean Front Walk,TJ33259,8RGU483,20.00,0.00,1.00,0.00,1:00,07/04/2025 12:44 PM,,07/04/2025 12:44 PM,Open,Card,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TZ19856,8SWX401,65.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 12:41 PM,,07/04/2025 12:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TJ95753,9DJF959,20.00,0.00,2.00,0.00,1:00,07/04/2025 12:40 PM,,07/04/2025 12:40 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TP26654,KYA3AP,20.00,0.00,1.00,0.00,2:00,07/04/2025 12:38 PM,,07/04/2025 12:38 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TY46922,8ZFX327,10.00,0.00,1.00,0.00,1:00,07/04/2025 12:36 PM,,07/04/2025 12:36 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TW25580,7YOU099,30.00,0.00,1.00,0.00,2:00,07/04/2025 12:36 PM,,07/04/2025 12:36 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TX12091,8DTW299,45.00,0.00,4.50,0.00,Until 09:00 AM,07/04/2025 12:34 PM,,07/04/2025 12:34 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TM80786,8WXS804,30.00,0.00,1.00,0.00,2:00,07/04/2025 12:32 PM,,07/04/2025 12:32 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TC87093,1XLJ93,20.00,0.00,2.00,0.00,1:00,07/04/2025 12:30 PM,,07/04/2025 12:30 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TC87093-EXT,1XLJ93,10.00,0.00,1.00,0.00,1:00,07/04/2025 12:30 PM,,07/04/2025 01:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TA73442,9AAG746,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 12:29 PM,,07/04/2025 12:29 PM,Open,Card,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TS74689,7FWS744,65.00,0.00,6.50,0.00,Until 02:00 AM,07/04/2025 12:26 PM,,07/04/2025 12:26 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TE89327,9LXN579,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:25 PM,,07/04/2025 12:25 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TJ19704,9LTE079,35.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:24 PM,,07/04/2025 12:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TU99672,9TGR692,30.00,0.00,3.00,0.00,2:00,07/04/2025 12:23 PM,,07/04/2025 12:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TH62302,9BYV187,65.00,0.00,6.50,0.00,Until 02:00 AM,07/04/2025 12:23 PM,,07/04/2025 12:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TH71015,9BHK278,20.00,0.00,1.00,0.00,1:00,07/04/2025 12:21 PM,,07/04/2025 12:21 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TH71015-EXT,9BHK278,10.00,0.00,1.00,0.00,1:00,07/04/2025 12:21 PM,,07/04/2025 12:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TD76915,9SYY560,30.00,0.00,3.00,0.00,2:00,07/04/2025 12:20 PM,,07/04/2025 12:20 PM,Open,Card,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TU24063,9MPY123,65.00,0.00,6.50,0.00,Until 02:00 AM,07/04/2025 12:19 PM,,07/04/2025 12:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TV88017,8VDM614,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 12:18 PM,,07/04/2025 12:18 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TF88446,CZ61J64,20.00,0.00,2.00,0.00,1:00,07/04/2025 12:18 PM,,07/04/2025 12:18 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TU28259,6GNN900,20.00,0.00,1.00,0.00,2:00,07/04/2025 12:18 PM,,07/04/2025 12:18 PM,Open,Card,Regular,,SUCCEEDED,,
220 Rose Parking,TT83036,7FFP442,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:17 PM,,07/04/2025 12:17 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TL57695,9NGV437,20.00,0.00,1.00,0.00,2:00,07/04/2025 12:17 PM,,07/04/2025 12:17 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TQ85247,9JJG185,20.00,0.00,1.00,0.00,2:00,07/04/2025 12:16 PM,,07/04/2025 12:16 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TQ85247-EXT,9JJG185,5.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:16 PM,,07/04/2025 02:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
18th Avenue Parking,TE00564,4HZY118,15.00,0.00,1.00,0.00,2:00,07/04/2025 12:15 PM,,07/04/2025 12:15 PM,Open,Card,Regular,,SUCCEEDED,,
155 Washington Parking,TL47988,402MNB,20.00,0.00,1.00,0.00,1:00,07/04/2025 12:15 PM,,07/04/2025 12:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TL47988-EXT,402MNB,10.00,0.00,1.00,0.00,1:00,07/04/2025 12:15 PM,,07/04/2025 12:56 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TV81659,9DEV610,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:14 PM,,07/04/2025 12:14 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TV81659-EEX,9DEV610,30.00,0.00,3.00,0.00,Until 03:00 AM,07/04/2025 12:14 PM,,07/04/2025 12:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
2913 Washington Parking (Scopa 1),TR27551,9TWK435,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:14 PM,,07/04/2025 12:14 PM,Open,Card,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TR27551-EXT,9TWK435,5.00,0.00,1.00,0.00,1:30,07/04/2025 12:14 PM,,07/04/2025 12:14 PM,Open,Card,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TB64639,6RZJ982,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:12 PM,,07/04/2025 12:12 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TV17860,9PGM002,15.00,0.00,1.00,0.00,2:00,07/04/2025 12:09 PM,,07/04/2025 12:09 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TS91203,8UCB477,35.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 12:07 PM,,07/04/2025 12:07 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TL34097,N291NO,15.00,0.00,1.00,0.00,2:00,07/04/2025 12:07 PM,,07/04/2025 12:07 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TL34097-EXT,N291NO,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 12:07 PM,,07/04/2025 01:58 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
102 Washington Parking (Arbor),TX55849,8ZTJ246,25.00,0.00,2.50,0.00,2:00,07/04/2025 12:06 PM,,07/04/2025 12:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TK17412,9KFK275,10.00,0.00,1.00,0.00,0:30,07/04/2025 12:06 PM,,07/04/2025 12:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TK17412-EXT,9KFK275,15.00,0.00,1.00,0.00,Until 05:00 PM,07/04/2025 12:06 PM,,07/04/2025 12:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
102 Washington Parking (Arbor),TF44052,9RQZ313,25.00,0.00,2.50,0.00,2:00,07/04/2025 12:02 PM,,07/04/2025 12:02 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TE38413,9HLB305,20.00,0.00,1.00,0.00,2:00,07/04/2025 12:01 PM,,07/04/2025 12:01 PM,Open,Card,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TL31081,UPRDEKY,15.00,0.00,1.00,0.00,2:00,07/04/2025 10:06 PM,,07/04/2025 10:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TN38999,9KPT290,10.00,0.00,1.00,0.00,1:00,07/04/2025 09:56 PM,,07/04/2025 09:56 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TQ68954,8RJX225,25.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 09:55 PM,,07/04/2025 09:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TE38518,9BXT503,15.00,0.00,1.00,0.00,1:00,07/04/2025 09:51 PM,,07/04/2025 09:51 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TY06182,H491V1,10.00,0.00,1.00,0.00,0:30,07/04/2025 09:50 PM,,07/04/2025 09:50 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TY06182-EXT,H491V1,5.00,0.00,1.00,0.00,1:30,07/04/2025 09:50 PM,,07/04/2025 09:51 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
816 Washington Parking (Scopa 2),TK14590,9EJA01,15.00,0.00,1.00,0.00,2:00,07/04/2025 09:49 PM,,07/04/2025 09:49 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TK14590-EXT,9EJA01,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 09:49 PM,,07/04/2025 11:56 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1501 Main Parking,TH09285,SCW6322,20.00,0.00,1.00,0.00,1:00,07/04/2025 09:41 PM,,07/04/2025 09:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TL80209,DF99D73,30.00,0.00,1.00,0.00,2:00,07/04/2025 09:41 PM,,07/04/2025 09:41 PM,Open,Card,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TM96566,9FBA472,30.00,0.00,1.00,0.00,2:00,07/04/2025 09:39 PM,,07/04/2025 09:39 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TV47892,8KYH820,15.00,0.00,1.00,0.00,2:00,07/04/2025 09:37 PM,,07/04/2025 09:37 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TP11699,9HLR400,15.00,0.00,1.00,0.00,1:00,07/04/2025 09:34 PM,,07/04/2025 09:34 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TR44289,9TRS260,15.00,0.00,1.00,0.00,1:00,07/04/2025 09:31 PM,,07/04/2025 09:31 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TE15781,9PER837,25.00,0.00,1.00,0.00,1:00,07/04/2025 09:28 PM,,07/04/2025 09:28 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TE15781-EXT,9PER837,5.00,0.00,1.00,0.00,1:00,07/04/2025 09:28 PM,,07/04/2025 10:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TK60286,7S25913,20.00,0.00,2.00,0.00,1:00,07/04/2025 09:24 PM,,07/04/2025 09:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TK60286-EXT,7S25913,10.00,0.00,1.00,0.00,1:00,07/04/2025 09:24 PM,,07/04/2025 10:34 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TU45201,L4KERS,30.00,0.00,3.00,0.00,2:00,07/04/2025 09:24 PM,,07/04/2025 09:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH82469,9AXA806,20.00,0.00,1.00,0.00,1:00,07/04/2025 09:23 PM,,07/04/2025 09:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TH82469-EXT,9AXA806,10.00,0.00,1.00,0.00,1:00,07/04/2025 09:23 PM,,07/04/2025 10:01 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TU88001,8ENT930,30.00,0.00,1.00,0.00,2:00,07/04/2025 09:22 PM,,07/04/2025 09:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TW27765,4VRX589,15.00,0.00,1.00,0.00,1:00,07/04/2025 09:22 PM,,07/04/2025 09:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TN03098,8YEE995,30.00,0.00,1.00,0.00,2:00,07/04/2025 09:21 PM,,07/04/2025 09:21 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TK06856,MARSHIP,30.00,0.00,1.00,0.00,2:00,07/04/2025 09:17 PM,,07/04/2025 09:17 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TL77321,UEX9790,10.00,0.00,1.00,0.00,1:00,07/04/2025 09:16 PM,,07/04/2025 09:16 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
